tile,cpc
<<<<<<< HEAD
10,0.4546485683257131
101,0.5182172044295973
103,0.5385459024164719
104,0.5099572427924518
107,0.5553267795202482
110,0.0
111,0.0
113,0.4968520259090147
114,0.5274180941741851
117,0.5473880116518373
118,0.5077757097066109
119,0.4855818896926405
132,0.5249620138032571
135,0.5459756595085505
138,0.0
143,0.5521279933075395
146,0.43620426256137595
147,0.4926930769214565
148,0.47739960356476996
151,0.0
153,0.4869932036559644
156,0.6254360701685195
157,0.4238343193845177
158,0.4731067097741176
160,0.4695947918956907
161,0.506512549935908
163,0.4876373913661896
164,0.47825324181995865
165,0.5298971440217307
166,0.5002932551319648
169,0.0
17,0.5952931288085732
173,0.4927281562765119
174,0.0
177,0.5082867758212328
178,0.48397450761253047
18,0.47686832740213525
187,0.0
189,0.4852354349561053
190,0.5965144932094658
191,0.7633563518059795
192,0.4985696880744655
195,0.4354367431250868
196,0.5524287716020552
202,0.5147826086956522
206,0.0
207,0.48397692743222015
208,0.4375903805253695
209,0.5008671163030698
21,0.4424648884943525
210,0.5724958181441289
212,0.6232264532768549
213,0.5392746476423346
214,0.0
216,0.0
22,0.3349420614476515
221,0.570741956558619
227,0.0
23,0.49851472410837055
230,0.0
235,0.5219607843137255
240,0.5491127702899253
241,0.5781863002316685
246,0.6404279288599046
248,0.5068762373556505
251,0.5609928835278295
253,0.7011017121440763
255,0.6186855669666896
256,0.5384536783752514
264,0.0
266,0.5128404046489042
267,0.5392906924761574
270,0.45733155921990637
271,0.5424014057613454
274,0.4420177812137611
275,0.0
277,0.4441877608471159
278,0.5536849025941327
284,0.5997782705099778
287,0.0
290,0.478471628172227
293,0.49548764706908527
295,0.542277595191194
296,0.526127299365131
297,0.4095715080690039
30,0.4754990716338058
300,0.5016124656978047
301,0.6019648601809299
302,0.5118290123970695
303,0.5453435677438984
306,0.5607661822985469
31,0.4971439323415799
311,0.5766738660907127
318,0.49463650937342174
319,0.49552437695077683
32,0.36672531942997005
320,0.5135877032109418
321,0.4754799643506657
323,0.43328499219205985
325,0.48771847984880146
326,0.5671119592875318
328,0.6512946158604546
331,0.5482977038796516
333,0.723202170963365
342,0.2621325764661472
345,0.5587138707577294
347,0.4595082935638361
348,0.48400359481744315
349,0.5532924102760305
352,0.49154653498106
354,0.45949832809526747
355,0.39022745257241775
356,0.5090638874847356
=======
10,0.4547282213406431
101,0.5178524534380348
103,0.536779991961613
104,0.5205028410390233
107,0.5374579274646331
110,0.0
111,0.0
113,0.5043582836911805
114,0.5283627682672127
117,0.5212263011411958
118,0.5168913445150884
119,0.48582100357591357
132,0.5210275482143996
135,0.5476775313275246
138,0.0
143,0.5521279933075395
146,0.4359398015450331
147,0.4814259278309253
148,0.4413646836815933
151,0.0
153,0.4869932036559644
156,0.6031045629514176
157,0.4063861553173596
158,0.4735787786474916
160,0.4643096588343725
161,0.48870886911370104
163,0.47527705165899325
164,0.47715649378543745
165,0.5270832740280277
166,0.5002932551319648
169,0.0
17,0.5952931288085732
173,0.49696328799051975
174,0.0
177,0.50626003882809
178,0.4836309093300515
18,0.47686832740213525
187,0.0
189,0.4852354349561053
190,0.638144251202116
191,0.7632092343272756
192,0.4949554831083791
195,0.4356388746843982
196,0.5524287716020552
202,0.5147826086956522
206,0.0
207,0.483562472013718
208,0.43704214378500644
209,0.4998923959651259
21,0.4144265474834572
210,0.5715780336984307
212,0.6166404803412402
213,0.5443080701686687
214,0.0
216,0.0
22,0.3162848968095957
221,0.5712430013141871
227,0.0
23,0.47624115329279587
230,0.0
235,0.5219607843137255
240,0.5491127702899253
241,0.5795558647800727
246,0.6407677989895061
248,0.5043643982078782
251,0.5593975917491715
253,0.7005219335903335
255,0.6197207453393082
256,0.5380731574011645
264,0.0
266,0.514959200975317
267,0.5370412709628161
270,0.4518570343169052
271,0.548471046259915
274,0.4420177812137611
275,0.0
277,0.44289197857309026
278,0.5537574121674246
284,0.5997782705099778
287,0.0
290,0.478471628172227
293,0.5055037654151082
295,0.5499632949325688
296,0.526127299365131
297,0.4095715080690039
30,0.48315017954051237
300,0.5026529947916667
301,0.6084963165016739
302,0.5179333203408816
303,0.5444036186780324
306,0.5607661822985469
31,0.4718702926241547
311,0.5766738660907127
318,0.48255334972097524
319,0.4789330273697013
32,0.34080730624060707
